date,open,high,low,close,volume
2025-11-11,3.8,3.82,3.73,3.75,1150833
2025-11-12,3.75,3.76,3.67,3.72,842718
2025-11-13,3.71,3.78,3.65,3.76,1189816
2025-11-14,3.8,3.88,3.75,3.76,1738546
2025-11-17,3.69,3.73,3.64,3.69,1091674
2025-11-18,3.68,3.68,3.6,3.62,728592
2025-11-19,3.63,3.64,3.48,3.51,813553
2025-11-20,3.51,3.55,3.47,3.5,522042
2025-11-21,3.46,3.5,3.36,3.36,838283
2025-11-24,3.39,3.47,3.37,3.44,740194
2025-11-25,3.44,3.49,3.44,3.45,614339
2025-11-26,3.45,3.51,3.43,3.44,648601
2025-11-27,3.44,3.46,3.4,3.43,505970
2025-11-28,3.42,3.45,3.38,3.45,529627
2025-12-01,3.7,3.75,3.54,3.55,1462746
2025-12-02,3.51,3.53,3.43,3.45,841362
2025-12-03,3.45,3.45,3.4,3.42,465731
2025-12-04,3.41,3.42,3.38,3.39,373054
2025-12-05,3.38,3.42,3.35,3.41,422297
2025-12-08,3.42,3.43,3.38,3.4,496350
2025-12-09,3.39,3.42,3.36,3.37,457231
2025-12-10,3.36,3.39,3.34,3.38,422989
2025-12-11,3.38,3.38,3.29,3.29,483507
2025-12-12,3.3,3.32,3.28,3.31,291226
2025-12-15,3.29,3.33,3.27,3.3,263318
2025-12-16,3.3,3.3,3.25,3.26,322891
2025-12-17,3.26,3.26,3.18,3.25,430157
2025-12-18,3.21,3.27,3.2,3.22,281880
2025-12-19,3.24,3.3,3.23,3.3,403197
2025-12-22,3.3,3.32,3.27,3.32,339542
2025-12-23,3.32,3.32,3.25,3.26,338449
2025-12-24,3.27,3.31,3.25,3.3,297265
2025-12-25,3.3,3.32,3.27,3.31,349460
2025-12-26,3.3,3.31,3.26,3.28,387793
2025-12-29,3.26,3.3,3.25,3.26,338279
2025-12-30,3.25,3.3,3.24,3.27,374141
2025-12-31,3.28,3.39,3.23,3.36,919488
2026-01-05,3.37,3.4,3.33,3.39,657641
2026-01-06,3.38,3.42,3.36,3.41,674585
2026-01-07,3.4,3.41,3.35,3.37,707432
2026-01-08,3.37,3.47,3.35,3.42,740708
2026-01-09,3.42,3.48,3.42,3.47,786442
2026-01-12,3.52,3.82,3.52,3.75,2688490
2026-01-13,3.82,3.86,3.66,3.75,2360736
2026-01-14,3.73,4.0,3.71,3.86,2740282
2026-01-15,3.87,3.89,3.69,3.73,1480270
2026-01-16,3.77,3.83,3.63,3.68,1099401
2026-01-19,3.67,3.73,3.62,3.71,902208
2026-01-20,3.71,3.72,3.63,3.65,697072
2026-01-21,3.62,3.74,3.59,3.69,793637
2026-01-22,3.7,3.78,3.7,3.77,928092
2026-01-23,3.79,3.83,3.74,3.83,1077506
2026-01-26,3.86,3.88,3.7,3.76,1040063
2026-01-27,3.69,3.69,3.58,3.65,1255797
2026-01-28,3.68,3.88,3.66,3.72,1357202
2026-01-29,3.68,3.74,3.58,3.61,1191562
2026-01-30,3.58,3.61,3.48,3.51,865006
2026-02-02,3.5,3.54,3.43,3.43,608108
2026-02-03,3.55,3.61,3.48,3.6,1083910
2026-02-04,3.56,3.57,3.48,3.51,806664
2026-02-05,3.49,3.5,3.45,3.46,473188
